"Country Name","GNI per capita(usd)","Unemployment, total (% of total labor force)","Current health expenditure (% of GDP)","Urban population (% of total population)","School enrollment, secondary (% gross)","Life expectancy at birth, total (years)"
"Africa Eastern and Southern","1467.9497702858","7.9644930935554","5.8655525762134","37.323698839175","43.845378875732","62.454589645386"
"Africa Western and Central","1748.7193208958","4.5240161353976","4.1407134967366","48.454806269918","46.538330078125","56.988656782014"
"Angola","1640","15.799","2.96010613","67.46","52.543769836426","61.643"
"Albania","6100","12.473","7.26731825","62.969","97.665031433105","76.463"
"Arab World","6404.6086046245","10.7832971151","5.3276567977467","59.294886466977","69.929779052734","70.814483021063"
"Argentina","9980","8.736","9.70880699","92.229","116.55944824219","75.39"
"Armenia","4850","10.012","12.34","63.431","97.301559448242","72.043"
"Australia","57240","5.116","10.54363918","86.362","135.52656555176","83.3"
"Austria","53150","6.459","12.1","58.995","102.30766296387","81.190243902439"
"Azerbaijan","4910","6.04","4.7","56.776","91.432289123535","69.366"
"Belgium","51060","6.264","11.04290771","98.117","143.16351318359","81.790243902439"
"Benin","1330","1.694","2.58129549","48.972","46.077041625977","59.821"
"Burkina Faso","830","5.11","6.37691164","31.24","38.28987121582","59.27"
"Bangladesh","2570","5.815","2.36492991","38.946","70.293332856023","72.381"
"Bulgaria","11050","5.267","8.56","76.025","98.708763122559","71.463414634146"
"Bahamas, The","27880","11.694","7.13872051","83.365","62.616661071777","71.598"
"Bosnia and Herzegovina","6910","14.897","9.56","49.425","84.969841003418","75.3"
"Belarus","7040","3.9","6.57","79.91","95.213386535645","72.370682926829"
"Belize","6040","10.157","4.98043823","46.201","88.740310668945","70.47"
"Bolivia","3290","5.089","8.15972805","70.475","91.496109008789","63.63"
"Brazil","7880","13.159","9.89072323","87.317","106.65190124512","72.75"
"Barbados","17140","9.417","8.09043312","31.246","104.71025085449","77.571"
"Brunei Darussalam","30320","4.905","2.20486665","78.554","89.122897689343","74.642"
"Bhutan","3290","4.804","3.84550023","43.008","90.803578815492","71.815"
